abrt-addon-ccpp            	-rwsr-sr-x	abrt      	abrt      	/usr/libexec/abrt-action-install-debuginfo-to-abrt-cache
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pa/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pap
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pl
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pl/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pt
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pt_BR
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pt_BR/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/pt/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/rw
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/rw/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/sk
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/sk/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/son
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/sq
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/sq/gnome
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/sv
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/terminology/sv/gnome
